Unnamed: 0,Patient,Unnamed: 2,Unnamed: 3,Donor,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Position,Mean,Low quartile,High quartile,Mean,Low quartile,High quartile,,,Position,uRPL,Donor
4,0.3821758,0.2645769,0.5162837,0.4840155,0.3710871,0.6022029,,,4,0.3821758,0.4840155
8,0.352544,0.2295996,0.5245713,0.4503191,0.3630124,0.5400274,,,8,0.352544,0.4503191
10,0.3327031,0.1964931,0.5098504,0.425591,0.3362049,0.5514001,,,10,0.3327031,0.425591
20,0.3208895,0.1888758,0.4861183,0.4162492,0.3183507,0.5216,,,20,0.3208895,0.4162492
48,0.3869853,0.2488814,0.5606205,0.4828207,0.3836859,0.5893667,,,48,0.3869853,0.4828207
53,0.3826509,0.2174593,0.5605136,0.4697281,0.3584242,0.6187163,,,53,0.3826509,0.4697281
57,0.4105799,0.2619497,0.6067181,0.5095314,0.3781452,0.6376262,,,57,0.4105799,0.5095314
64,0.3043089,0.1939679,0.4419654,0.3898256,0.2771422,0.5140736,,,64,0.3043089,0.3898256
78,0.3616883,0.2350591,0.5166987,0.4745428,0.3745966,0.5958723,,,78,0.3616883,0.4745428
98,0.2768827,0.1670614,0.3977843,0.3682218,0.2663874,0.4600645,,,98,0.2768827,0.3682218
109,0.3131732,0.1806323,0.4732919,0.4220254,0.3202895,0.5433402,,,109,0.3131732,0.4220254
138,0.3433436,0.1977968,0.5277208,0.4498297,0.3106323,0.553459,,,138,0.3433436,0.4498297
142,0.3429534,0.1968316,0.502411,0.4560421,0.3384122,0.5505953,,,142,0.3429534,0.4560421
150,0.3399902,0.1906441,0.4826387,0.450495,0.3287324,0.5488842,,,150,0.3399902,0.450495
154,0.2780825,0.1518189,0.4557022,0.3749785,0.2660396,0.5125859,,,154,0.2780825,0.3749785
174,0.3076395,0.1748583,0.4637749,0.4080549,0.3083115,0.5203153,,,174,0.3076395,0.4080549
198,0.3357597,0.2022211,0.4977585,0.4394455,0.333339,0.5603701,,,198,0.3357597,0.4394455
206,0.2972813,0.1719968,0.4693152,0.4119602,0.3028999,0.5349847,,,206,0.2972813,0.4119602
213,0.3320266,0.2020586,0.4822275,0.4460476,0.3622843,0.5554442,,,213,0.3320266,0.4460476
230,0.305517,0.1541659,0.4532745,0.4067702,0.2743505,0.513036,,,230,0.305517,0.4067702
238,0.2964898,0.1745125,0.4487826,0.4117373,0.3147316,0.5157811,,,238,0.2964898,0.4117373
